Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,2014,2015
Japan ,-,-,-,-,138.00,193.00,1583.00,13998.00,139712.00,77125.00,42057.00,2683.00,1557.00,41968.00,40956.00,52812.00,44150.00,66582.00,84552.00,7100.00,6751.00,6581.00,6383.00,5980.00,5808.00
Jordan ,-,-,-,-,-,-,-,-,-,-,-,-,3.00,4919.00,9230.00,25541.00,28928.00,42755.00,53550.00,9327.00,8211.00,7014.00,5949.00,9028.00,7835.00
Korea 13,-,-,-,-,-,-,-,-,-,-,-,-,83.00,4845.00,27048.00,241192.00,322708.00,179770.00,209758.00,22022.00,22748.00,20802.00,22937.00,20313.00,16976.00
Philippines ,-,-,-,-,-,4.00,1.00,19.00,605.00,-,-,457.00,4099.00,17245.00,70660.00,337726.00,502056.00,534338.00,545463.00,56399.00,55251.00,55441.00,52955.00,48633.00,54307.00
Syria 14,-,-,-,-,2.00,7.00,140.00,-,-,-,5307.00,2188.00,1179.00,1091.00,2432.00,8086.00,14534.00,22906.00,30807.00,7424.00,7983.00,6674.00,3999.00,4677.00,5459.00
Taiwan ,-,-,-,-,-,-,-,-,-,-,-,-,-,721.00,15657.00,83155.00,119051.00,132647.00,92657.00,6785.00,6206.00,5295.00,5336.00,4712.00,4814.00
Turkey 14,19.00,8.00,45.00,94.00,129.00,382.00,2478.00,27510.00,127999.00,160717.00,40374.00,1314.00,754.00,2980.00,9464.00,12209.00,19208.00,38687.00,48394.00,7435.00,9040.00,7362.00,7189.00,7248.00,8762.00
Vietnam ,-,-,-,-,-,-,-,-,-,-,-,-,-,290.00,2949.00,121716.00,200632.00,275379.00,289616.00,30065.00,33486.00,27578.00,26578.00,29825.00,30332.00
Other Asia,3.00,1.00,4.00,11.00,57.00,163.00,888.00,4381.00,9215.00,7500.00,6070.00,6024.00,7851.00,12675.00,40452.00,171025.00,483601.00,637116.00,745444.00,112320.00,122417.00,122000.00,107232.00,126363.00,123380.00
America,9656.00,31911.00,50527.00,84201.00,130427.00,345889.00,529845.00,38756.00,277882.00,1070539.00,1591278.00,230319.00,328435.00,921644.00,1674185.00,1903636.00,2694504.00,5137142.00,4441529.00,426981.00,423277.00,409664.00,399380.00,400102.00,439228.00
