COUNTRY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Turkmenistan,248,217,274,290,224,260,223,210,254,226
Turks and Caicos Islands,52,31,35,31,29,33,30,50,40,38
Uganda,"1,372","1,122","1,174","1,364","1,085","1,239","1,340","1,350","1,409","1,664"
Ukraine,"17,140","11,001","10,813","11,223","8,477","8,292","7,642","8,193","7,752","7,987"
United Arab Emirates,"1,006",758,693,697,779,707,854,910,"1,039","1,193"
United Kingdom,"17,207","14,545","14,348","15,748","12,792","11,572","12,014","12,984","12,225","12,592"
United States,333,171,216,181,201,269,279,319,358,370
Uruguay,"1,664","1,418","1,451","1,775","1,331","1,553","1,374","1,352","1,128","1,078"
Uzbekistan,"4,015","4,665","6,375","5,467","4,770","5,056","4,726","4,382","5,194","3,977"
Venezuela,"11,341","10,692","10,514","11,154","9,409","9,183","9,387","9,572","8,427","9,144"
Vietnam,"30,691","28,691","31,497","29,234","30,632","34,157","28,304","27,101","30,283","30,832"
Yemen,"4,308","2,396","1,872","3,134","3,591","3,361","2,620","3,532","3,492","3,194"
Zambia,672,576,613,704,628,652,643,505,441,460
Zimbabwe,"1,049","1,057",953,983,"1,274","1,016",914,924,797,779
All other countries2,39,23,23,36,26,26,24,27,31,34
Unknown,"2,734","1,394","1,394","1,366","1,330","1,245","1,206","3,263","1,150",677
